,w_trip_id,waypoint_seq,capture_time,lat,lon,raw_speed,raw_speed_metric
85,0008216eee32c3901a4b1e3525f22f2c,25,2019-09-26T04:39:44.000Z,52.352717,9.870067,43.0,kph
86,0008216eee32c3901a4b1e3525f22f2c,31,2019-09-26T04:40:30.000Z,52.355015,9.868653,27.0,kph
87,0008216eee32c3901a4b1e3525f22f2c,31,2019-09-26T04:40:30.000Z,52.355015,9.868653,27.0,kph
88,0008216eee32c3901a4b1e3525f22f2c,37,2019-09-26T04:41:26.000Z,52.353442,9.869467,29.0,kph
89,0008216eee32c3901a4b1e3525f22f2c,37,2019-09-26T04:41:26.000Z,52.353442,9.869467,29.0,kph
90,0008216eee32c3901a4b1e3525f22f2c,29,2019-09-26T04:40:14.000Z,52.353942,9.869233,26.0,kph
91,0008216eee32c3901a4b1e3525f22f2c,29,2019-09-26T04:40:14.000Z,52.353942,9.869233,26.0,kph
92,0008216eee32c3901a4b1e3525f22f2c,23,2019-09-26T04:39:31.000Z,52.351145,9.86965,45.0,kph
93,0008216eee32c3901a4b1e3525f22f2c,23,2019-09-26T04:39:31.000Z,52.351145,9.86965,45.0,kph
94,0008216eee32c3901a4b1e3525f22f2c,19,2019-09-26T04:38:59.000Z,52.347357,9.867983,30.0,kph
95,0008216eee32c3901a4b1e3525f22f2c,19,2019-09-26T04:38:59.000Z,52.347357,9.867983,30.0,kph
96,0008216eee32c3901a4b1e3525f22f2c,3,2019-09-26T04:36:21.000Z,52.342785,9.8638,7.0,kph
97,0008216eee32c3901a4b1e3525f22f2c,3,2019-09-26T04:36:21.000Z,52.342785,9.8638,7.0,kph
98,0008216eee32c3901a4b1e3525f22f2c,5,2019-09-26T04:36:44.000Z,52.342672,9.864475,7.0,kph
99,0008216eee32c3901a4b1e3525f22f2c,5,2019-09-26T04:36:44.000Z,52.342672,9.864475,7.0,kph
100,0008216eee32c3901a4b1e3525f22f2c,51,2019-09-26T04:43:16.000Z,52.343422,9.865893,20.0,kph
101,0008216eee32c3901a4b1e3525f22f2c,51,2019-09-26T04:43:16.000Z,52.343422,9.865893,20.0,kph
102,0008216eee32c3901a4b1e3525f22f2c,27,2019-09-26T04:39:57.000Z,52.353347,9.87022,12.0,kph
103,0008216eee32c3901a4b1e3525f22f2c,27,2019-09-26T04:39:57.000Z,52.353347,9.87022,12.0,kph
